speciesGroup,taxonomicRankKingdom,taxonomicRankPhylum,taxonomicRankClass,taxonomicRankOrder,taxonomicRankFamily,taxonomicRankGenus,taxonomicRankSpecies,endemicToEurope,europeanRegionalRedListCategory,populationTrend
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,savignyi,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELOBATIDAE,Pelobates,cultripes,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELOBATIDAE,Pelobates,fuscus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELOBATIDAE,Pelobates,syriacus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELODYTIDAE,Pelodytes,ibericus,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELODYTIDAE,Pelodytes,punctatus,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PIPIDAE,Xenopus,laevis,No,NA,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Lithobates,catesbeianus,No,NA,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,bedriagae,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,bergeri,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,cerigensis,Yes,CR,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,cretensis,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,epeiroticus,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,esculentus,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,grafi,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,hispanicus,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,kurtmuelleri,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,lessonae,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,perezi,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,ridibundus,No,LC,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,saharicus,No,NA,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,shqipericus,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,arvalis,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,dalmatina,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,graeca,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,temporaria,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Atylodes,genei,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,ambrosii,Yes,NT,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,flavus,Yes,VU,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,imperialis,Yes,NT,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,italicus,Yes,NT,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,sarrabusensis,Yes,VU,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,strinatii,Yes,NT,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,supramontis,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PROTEIDAE,Proteus,anguinus,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Calotriton,arnoldi,Yes,CR,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Calotriton,asper,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Chioglossa,lusitanica,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Euproctus,montanus,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Euproctus,platycephalus,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,boscai,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,helveticus,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,italicus,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,montandoni,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,vulgaris,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lyciasalamandra,helverseni,Yes,VU,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lyciasalamandra,luschani,No,NA,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Mesotriton,alpestris,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Pleurodeles,waltl,No,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,atra,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,corsica,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,lanzai,Yes,VU,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,salamandra,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,perspicillata,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,terdigitata,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,carnifex,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,cristatus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,dobrogicus,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,karelinii,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,marmoratus,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,pygmaeus,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,AMPHISBAENIA,AMPHISBAENIDAE,Blanus,cinereus,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,AMPHISBAENIA,AMPHISBAENIDAE,Blanus,strauchi,No,NA,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,AMPHISBAENIA,TROGONOPHIIDAE,Trogonophis,wiegmanni,No,NE,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Laudakia,stellio,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Phrynocephalus,guttatus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Phrynocephalus,helioscopus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Phrynocephalus,mystaceus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,cephalonnica,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Anguis,fragilis,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Pseudopus,apodus,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,BOIDAE,Eryx,jaculus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,BOIDAE,Eryx,miliaris,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,africanus,No,NA,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Chamaeleo,chamaeleon,No,NA,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,austriaca,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Coronella,girondica,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,caspius,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Dolichophis,jugularis,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Eirenis,modestus,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,dione,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,quatuorlineata,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,sauromates,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,hippocrepis,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,nummifer,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hemorrhois,ravergieri,No,NA,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,cypriensis,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,gemonensis,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Hierophis,viridiflavus,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Macroprotodon,brevis,No,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Macroprotodon,cucullatus,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Malpolon,insignitus,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Malpolon,monspessulanus,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Natrix,maura,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Natrix,natrix,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Natrix,tessellata,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Platyceps,collaris,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Platyceps,najadum,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Rhinechis,scalaris,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Telescopus,fallax,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Zamenis,hohenackeri,No,NE,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Zamenis,lineatus,Yes,DD,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Zamenis,longissimus,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Zamenis,situla,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Alsophylax,pipiens,No,NA,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Cyrtopodion,caspius,No,NA,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Cyrtopodion,kotschyi,No,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Euleptes,europaea,No,NT,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Hemidactylus,turcicus,No,LC,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Saurodactylus,mauritanicus,No,NA,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Tarentola,angustimentalis,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Tarentola,boettgeri,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Tarentola,delalandii,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Tarentola,gomerensis,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Tarentola,mauritanica,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,erythrurus,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,schreiberi,No,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,fitzingeri,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,marchi,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,moreoticus,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,nigropunctatus,Yes,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Anatololacerta,anatolica,No,NA,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Anatololacerta,oertzeni,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Archaeolacerta,bedriagae,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Dalmatolacerta,oxycephala,Yes,LC,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Darevskia,praticola,No,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Dinarolacerta,mosorensis,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Eremias,arguta,No,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Eremias,velox,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,atlantica,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,auaritae,Yes,CR,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,bravoana,Yes,CR,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,caesaris,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,galloti,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,intermedia,Yes,CR,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,simonyi,Yes,CR,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Gallotia,stehlini,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Hellenolacerta,graeca,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,aranica,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,aurelioi,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,bonnali,Yes,NT,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,cyreni,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,galani,Yes,NT,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,horvathi,Yes,NT,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,martinezricai,Yes,CR,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,monticola,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Lacerta,agilis,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Lacerta,bilineata,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Lacerta,schreiberi,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Lacerta,strigata,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Lacerta,trilineata,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Lacerta,viridis,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Ophisops,elegans,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Phoenicolacerta,troodica,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Podarcis,bocagei,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Podarcis,carbonelli,Yes,EN,Decreasing
